node,U1,U2,U3,R1,R2,R3
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0.000533815,0.000332949,-0.000919101,0,0,0
23,0.00052717,-2.47881e-008,-0.000652039,0,0,0
24,0.000546331,-0.000339076,-0.000940438,0,0,0
25,-0.000542032,0.000340888,-0.000936691,0,0,0
26,-0.000535656,1.31341e-006,-0.000663135,0,0,0
27,-0.00055457,-0.000343471,-0.000955169,0,0,0
28,0.000216388,0.000358486,-0.000670271,0,0,0
29,-0.000218042,0.000364733,-0.000681169,0,0,0
30,0.000112401,0.000368565,-0.000798152,0,0,0
31,-0.000112534,0.000371613,-0.000803972,0,0,0
32,2.30741e-007,0.000367086,-0.000708582,0,0,0
33,0.000207791,-4.15548e-006,-0.000374463,0,0,0
34,0.000220533,-0.000374322,-0.00068936,0,0,0
35,-0.000210804,-3.2374e-006,-0.000379849,0,0,0
36,-0.000223417,-0.000377733,-0.00069739,0,0,0
37,0.000114872,-4.56486e-006,-0.00048703,0,0,0
38,-0.000116735,-4.18486e-006,-0.000490129,0,0,0
39,-5.0047e-007,-4.59371e-006,-0.000405391,0,0,0
40,0.000113709,-0.000386731,-0.000822956,0,0,0
41,-0.000115301,-0.000388457,-0.000827451,0,0,0
42,-4.63566e-007,-0.000385372,-0.000731068,0,0,0
43,0.000615799,9.60958e-005,-0.00103856,0,0,0
44,0.00060627,-1.53447e-005,-0.00150645,0,0,0
45,0.000630804,-0.00012775,-0.00107969,0,0,0
46,-0.000628237,0.000103541,-0.00106319,0,0,0
47,-0.000620057,-1.06635e-005,-0.00153599,0,0,0
48,-0.000645367,-0.000126095,-0.00109952,0,0,0
49,0.000443475,0.000133021,-0.00110021,0,0,0
50,-0.000452324,0.00013825,-0.00111715,0,0,0
51,0.000170241,0.000151506,-0.000947928,0,0,0
52,-0.000175226,0.000154209,-0.000955821,0,0,0
53,-2.37397e-006,0.000147157,-0.00108869,0,0,0
54,0.000432382,-2.23655e-005,-0.00158825,0,0,0
55,0.000451167,-0.00017867,-0.00114554,0,0,0
56,-0.000442822,-1.9101e-005,-0.00160885,0,0,0
57,-0.000462476,-0.000177649,-0.00115769,0,0,0
58,0.000171603,-2.48865e-005,-0.00144458,0,0,0
59,-0.00017845,-2.32714e-005,-0.00145436,0,0,0
60,-3.30811e-006,-2.49808e-005,-0.00157762,0,0,0
61,0.000171966,-0.000201951,-0.000993259,0,0,0
62,-0.000179768,-0.000201542,-0.000998978,0,0,0
63,-3.77116e-006,-0.000197561,-0.00113655,0,0,0
64,0.000720096,0.000140293,-0.00216866,0,0,0
65,0.000724545,-4.09598e-005,-0.00173221,0,0,0
66,0.00073767,-0.00022815,-0.00223548,0,0,0
67,-0.000741702,0.00015301,-0.00221424,0,0,0
68,-0.000748733,-3.25865e-005,-0.00176708,0,0,0
69,-0.000763369,-0.000223576,-0.00227505,0,0,0
70,0.000455391,0.000140689,-0.00207914,0,0,0
71,-0.000471698,0.000149273,-0.00211109,0,0,0
72,0.000239907,0.000146465,-0.00219159,0,0,0
73,-0.000254192,0.000150789,-0.00220743,0,0,0
74,-6.26375e-006,0.000155922,-0.00207078,0,0,0
75,0.000455126,-4.9218e-005,-0.00164973,0,0,0
76,0.00046442,-0.000245384,-0.00214586,0,0,0
77,-0.00047421,-4.35679e-005,-0.0016727,0,0,0
78,-0.000485259,-0.000242155,-0.00217208,0,0,0
79,0.000237151,-5.25641e-005,-0.00176797,0,0,0
80,-0.000254275,-4.97349e-005,-0.00177953,0,0,0
81,-7.71975e-006,-5.24936e-005,-0.00164232,0,0,0
82,0.000242632,-0.000258519,-0.00226159,0,0,0
83,-0.000261579,-0.000256889,-0.00227472,0,0,0
84,-8.64621e-006,-0.000268125,-0.00213839,0,0,0
85,0.000695088,0.000120735,-0.00220806,0,0,0
86,0.000700388,-8.14411e-005,-0.00266968,0,0,0
87,0.000713843,-0.000285335,-0.00229755,0,0,0
88,-0.000727601,0.00013797,-0.0022598,0,0,0
89,-0.000736675,-6.85195e-005,-0.00272474,0,0,0
90,-0.000752909,-0.000277034,-0.00234261,0,0,0
91,0.000484553,0.000124818,-0.00238514,0,0,0
92,-0.000513311,0.000136549,-0.00242045,0,0,0
93,0.000231593,0.000131189,-0.00229805,0,0,0
94,-0.000256983,0.000137034,-0.00231575,0,0,0
95,-1.25842e-005,0.000131329,-0.00241556,0,0,0
